Item_ID,Item_Name,Item_Type,Sub_Type,Effect_ID,Effect_Value,Duration,Is_Stackable,Max_Stack,Obtain_Method,Sell_Whether,Sell_Value,Description
40501,츄르,4,뽑기 재화,-,-,-,TRUE,999,스테이지 클리어,0,-,고양이 모집 뽑기를 돌릴 때 소모되는 재화
40502,골드,4,재화,-,-,-,TRUE,999999999,스테이지 클리어,0,-,게임 내 공통적으로 사용되는 재화.
20503,털실 뭉치,2,입장 소모품,-,-,-,TRUE,100,스테이지 클리어,0,-,스테이지 입장 시 반드시 필요한 재화. 한 스테이지 당 5개를 소모하여 입장한다.
40504,경험치,4,레벨업 재화,-,-,-,TRUE,999999999,스테이지 클리어,0,-,캐릭터 레벨업 시 반드시 필요한 재화.
20505,털실 바구니,2,입장 소모품,-,-,-,TRUE,999,스테이지 클리어,0,-,입장 재화를 충전한다. 털실 뭉치가 10개씩 들어있는 바구니
10506,토토의 쿠션,1,캐릭터 전용 장비,-,-,-,FALSE,1,캐릭터 일정 레벨 도달 시 골드를 지불하여 해금,0,-,
10507,루루의 담요,1,캐릭터 전용 장비,-,-,-,FALSE,1,캐릭터 일정 레벨 도달 시 골드를 지불하여 해금,0,-,
10508,벨라의 스카프,1,캐릭터 전용 장비,-,-,-,FALSE,1,캐릭터 일정 레벨 도달 시 골드를 지불하여 해금,0,-,
10509,까망의 애착 인형,1,캐릭터 전용 장비,-,-,-,FALSE,1,캐릭터 일정 레벨 도달 시 골드를 지불하여 해금,0,-,
10510,복순의 간식 박스,1,캐릭터 전용 장비,-,-,-,FALSE,1,캐릭터 일정 레벨 도달 시 골드를 지불하여 해금,0,-,
