Growth_Curve_ID,Rarity,Position,HP,ATK,DEF,SPD
1101,N,TANK,35,2,4,0.8
1102,N,Melee,20,5,2,1
1103,N,ADC,15,6,1,0.2
1104,N,Sup,20,2,3,0.8
1105,N,Boss/Unique,60,10,4,1.3
1106,R,TANK,38,3,5,0.9
1107,R,Melee,25,6,3,1.1
1108,R,ADC,20,7,2,1.3
1109,R,Sup,25,3,4,0.9
1110,R,Boss/Unique,65,12,5,1.4
1111,SR,TANK,42,4,6,1
1112,SR,Melee,30,7,3,1.2
1113,SR,ADC,25,8,2,1.4
1114,SR,Sup,30,4,5,1
1115,SR,Boss/Unique,70,14,6,1.5
1116,SSR,TANK,50,5,7,1.1
1117,SSR,Melee,35,9,4,1.3
1118,SSR,ADC,30,10,3,1.5
1119,SSR,Sup,35,5,6,1.1
1120,SSR,Boss/Unique,80,16,8,1.6
