Monster_ID,M_Name,M_Position,M_Rarity,M_Boss_Flag,M_Base_HP,M_Base_ATK,M_Base_DEF,M_Base_SPD,M_Skill_Set_ID,M_Skill_Set_Name,M_Basic_attack_ID,M_Description
1201,오렌쥐,TANK,1,FALSE,1200,90,160,80,31309,껍질 방패,11306,오렌지 껍질을 갑옷처럼 두르고 다니는 쥐. 오렌지 냄새로 적을 혼란시킨다.
1202,꽁치쥐,TANK,1,FALSE,1300,85,170,75,32312,비늘 방패,11306,항구의 꽁치 상자를 차지한 쥐. 비린내가 배어 있지만 독하게 버틴다.
1203,치즈훔쥐,Melee,1,FALSE,850,150,100,110,31310,치즈 베어먹기,11306,치즈를 훔쳐 다니는 민첩한 쥐. 단검 같은 이빨로 적을 찌른다.
1204,쓰레기 투척병,ADC,1,FALSE,700,180,70,120,31311,쓰레기 봉투 투척,11307,쓰레기를 뭉쳐 원거리에서 던지는 쥐. 악취로 적을 괴롭힌다.
1205,떼쟁이삼형제,ADC,1,TRUE,2500,220,120,130,34313,합창 소음,11307,세 마리가 항상 함께 다니며 돌과 깡통을 던진다. 혼자선 약하지만 모이면 강하다.
1206,커다란 꽁치쥐,TANK,1,FALSE,1600,110,200,80,31314,더 큰 비늘 방패,11325,꽁치쥐가 성장해 변이된 거대종. 비늘 같은 털을 지녔다.
1207,슬라임 묻은 쥐,TANK,1,FALSE,2100,150,200,95,32315,점액 방출,11325,몸에 슬라임이 들러붙어 미끌거린다. 공격을 튕겨내기 쉽다.
1208,거대쥐,TANK,1,FALSE,2000,140,220,90,33316,압박 포효,11325,하수도 깊은 곳에서 자라 사람만큼 커진 쥐. 단순하지만 힘이 강력하다.
1209,칼자국쥐,Melee,1,FALSE,1500,200,120,130,31317,찢어 베기,11325,온몸의 칼자국이 무용담. 수많은 싸움에서 살아남은 터프한 쥐.
1210,빠른 발쥐,Melee,1,FALSE,1400,170,110,150,31318,섬광 돌진,11325,날렵한 다리로 적을 앞지른다. 속도와 날카로운 이빨이 무기다.
2211,철통쥐,TANK,2,FALSE,2300,160,260,85,31319,방패 두르기,11325,깡통 조각을 몸에 두르고 방패처럼 사용한다. 끈질긴 생존력.
1212,유리병 투척쥐,ADC,1,FALSE,1200,160,100,125,32320,유리병 투척,11326,버려진 병을 던져 파편으로 적을 공격한다. 원거리에서 위협적이다.
1213,화염병쥐,ADC,1,FALSE,1600,240,130,135,32321,화염병 투척,11326,불붙은 유리병을 던져 혼란을 일으킨다. 통제 불가능한 광란.
2214,쓰레기장 왕쥐,ADC,2,TRUE,5000,300,250,110,33322,왕의 포효,11326,쓰레기 더미를 왕국처럼 다스리는 수장. 높은 곳에서 공격을 퍼붓는다.
1215,치유쥐,Sup,1,FALSE,900,60,70,105,31323,상처 핥기,11327,약초나 음식 찌꺼기로 아군을 치유하는 서포터.
2216,마법회복쥐,Sup,2,FALSE,1200,70,80,100,33324,회복 파동,11327,신비한 힘으로 회복 마법을 쓰는 쥐. 작은 마법사로 불린다.
