reward_id,reward_type,RewardTarget_id,RewardTarget_Name,condition,R_item_type,R_item_id,R_item_Name,quantity,probability,description
31001,스테이지 클리어,4801,1-1 스테이지,스테이지 최초 클리어,3,40501,츄르,2,100,이후 재도전에서는 수급이 불가능한 보상.
31002,스테이지 클리어,4801,1-1 스테이지,스테이지 최초 클리어,3,20503,털실 뭉치,5,100,이후 재도전에서는 수급이 불가능한 보상.
11003,스테이지 클리어,4801,1-1 스테이지,스테이지 클리어,1,40502,골드,2000,100,
31004,스테이지 클리어,4801,1-1 스테이지,스테이지 클리어,3,40504,경험치,2700,100,
31005,스테이지 클리어,3802,1-2 스테이지,스테이지 최초 클리어,3,40501,츄르,2,100,이후 재도전에서는 수급이 불가능한 보상.
11006,스테이지 클리어,3802,1-2 스테이지,스테이지 클리어,1,40502,골드,2300,100,
31007,스테이지 클리어,3802,1-2 스테이지,스테이지 클리어,3,40504,경험치,3150,100,
31008,스테이지 클리어,3803,1-3 스테이지,스테이지 최초 클리어,3,40501,츄르,2,100,이후 재도전에서는 수급이 불가능한 보상.
11009,스테이지 클리어,3803,1-3 스테이지,스테이지 클리어,1,40502,골드,2600,100,
31010,스테이지 클리어,3803,1-3 스테이지,스테이지 클리어,3,40504,경험치,3600,100,
31011,스테이지 클리어,3804,1-4 스테이지,스테이지 최초 클리어,3,40501,츄르,2,100,이후 재도전에서는 수급이 불가능한 보상.
11012,스테이지 클리어,3804,1-4 스테이지,스테이지 클리어,1,40502,골드,2900,100,
31013,스테이지 클리어,3804,1-4 스테이지,스테이지 클리어,3,40504,경험치,4050,100,
31014,스테이지 클리어,4805,1-5 스테이지,스테이지 최초 클리어,3,40501,츄르,2,100,이후 재도전에서는 수급이 불가능한 보상.
31015,스테이지 클리어,4805,1-5 스테이지,스테이지 최초 클리어,3,20503,털실 뭉치,10,100,이후 재도전에서는 수급이 불가능한 보상.
11016,스테이지 클리어,4805,1-5 스테이지,스테이지 클리어,1,40502,골드,3200,100,
31017,스테이지 클리어,4805,1-5 스테이지,스테이지 클리어,3,40504,경험치,4500,100,
31018,스테이지 클리어,3806,1-6 스테이지,스테이지 최초 클리어,3,40501,츄르,3,100,이후 재도전에서는 수급이 불가능한 보상.
11019,스테이지 클리어,3806,1-6 스테이지,스테이지 클리어,1,40502,골드,3500,100,
31020,스테이지 클리어,3806,1-6 스테이지,스테이지 클리어,3,40504,경험치,4950,100,
31021,스테이지 클리어,3807,1-7 스테이지,스테이지 최초 클리어,3,40501,츄르,2,100,이후 재도전에서는 수급이 불가능한 보상.
11022,스테이지 클리어,3807,1-7 스테이지,스테이지 클리어,1,40502,골드,3800,100,
31023,스테이지 클리어,3807,1-7 스테이지,스테이지 클리어,3,40504,경험치,5400,100,
31024,스테이지 클리어,3808,1-8 스테이지,스테이지 최초 클리어,3,40501,츄르,2,100,이후 재도전에서는 수급이 불가능한 보상.
11025,스테이지 클리어,3808,1-8 스테이지,스테이지 클리어,1,40502,골드,4100,100,
31026,스테이지 클리어,3808,1-8 스테이지,스테이지 클리어,3,40504,경험치,5850,100,
31027,스테이지 클리어,3809,1-9 스테이지,스테이지 최초 클리어,3,40501,츄르,2,100,이후 재도전에서는 수급이 불가능한 보상.
11028,스테이지 클리어,3809,1-9 스테이지,스테이지 클리어,1,40502,골드,4400,100,
31029,스테이지 클리어,3809,1-9 스테이지,스테이지 클리어,3,40504,경험치,6300,100,
31030,스테이지 클리어,4810,1-10 스테이지,스테이지 최초 클리어,3,40501,츄르,3,100,이후 재도전에서는 수급이 불가능한 보상.
31031,스테이지 클리어,4810,1-10 스테이지,스테이지 최초 클리어,3,20503,털실 뭉치,15,100,이후 재도전에서는 수급이 불가능한 보상.
11032,스테이지 클리어,4810,1-10 스테이지,스테이지 클리어,1,40502,골드,4700,100,
31033,스테이지 클리어,4810,1-10 스테이지,스테이지 클리어,3,40504,경험치,6750,100,
