Wave_ID,Stage_ID,Wave_Number,Enemy_ID,Boss_Flag,Spawn_Delay,Wave_Condition,Special_Event,Description
10901,4801,1,"[{""Monster_ID"":1201,""Count"":2,""Position"":""Front""},{""Monster_ID"":1204,""Count"":1,""Position"":""Back""}]",FALSE,0,모든 적 처치,"""""",
20902,4801,2,"[{""Monster_ID"":1201,""Count"":2,""Position"":""Front""},{""Monster_ID"":1202,""Count"":1,""Position"":""Front""},{""Monster_ID"":1204,""Count"":2,""Position"":""Back""}]",FALSE,2000,모든 적 처치,"""""",
30903,4801,3,"[{""Monster_ID"":1202,""Count"":2,""Position"":""Front""},{""Monster_ID"":1204,""Count"":2,""Position"":""Back""},{""Monster_ID"":1203,""Count"":1,""Position"":""Back""}]",FALSE,2000,모든 적 처치,"""""",
40904,4801,4,"[{""Monster_ID"":1202,""Count"":2,""Position"":""Front""},{""Monster_ID"":2205,""Count"":1,""Position"":""Back""}]",TRUE,3000,모든 적 처치,보스 컷신 재생,
10905,3802,1,"[{""Monster_ID"":1201,""Count"":2,""Position"":""Front""},{""Monster_ID"":1204,""Count"":2,""Position"":""Back""}]",FALSE,0,,,
20906,3802,2,"[{""Monster_ID"":1201,""Count"":2,""Position"":""Front""},{""Monster_ID"":1202,""Count"":1,""Position"":""Front""},{""Monster_ID"":1204,""Count"":2,""Position"":""Back""}]",FALSE,2000,모든 적 처치,,
30907,3802,3,"[{""Monster_ID"":1202,""Count"":2,""Position"":""Front""},{""Monster_ID"":1204,""Count"":2,""Position"":""Back""},{""Monster_ID"":1203,""Count"":1,""Position"":""Back""}]",FALSE,2500,모든 적 처치,,.
10908,3803,1,"[{""Monster_ID"":1201,""Count"":2,""Position"":""Front""},{""Monster_ID"":1204,""Count"":1,""Position"":""Back""},{""Monster_ID"":1215,""Count"":1,""Position"":""Back""}]",FALSE,0,모든 적 처치,,
20909,3803,2,"[{""Monster_ID"":1201,""Count"":2,""Position"":""Front""},{""Monster_ID"":1202,""Count"":1,""Position"":""Front""},{""Monster_ID"":1204,""Count"":2,""Position"":""Back""},{""Monster_ID"":1215,""Count"":1,""Position"":""Back""}]",FALSE,2000,,,
30910,3803,3,"[{""Monster_ID"":1202,""Count"":2,""Position"":""Front""},{""Monster_ID"":1204,""Count"":2,""Position"":""Back""},{""Monster_ID"":1203,""Count"":1,""Position"":""Back""},{""Monster_ID"":1215,""Count"":1,""Position"":""Back""}]",FALSE,2500,모든 적 처치,,
10911,3804,1,"[{""Monster_ID"":1201,""Count"":2,""Position"":""Front""},{""Monster_ID"":1202,""Count"":1,""Position"":""Front""},{""Monster_ID"":1204,""Count"":1,""Position"":""Back""},{""Monster_ID"":1215,""Count"":1,""Position"":""Back""}]",FALSE,0,모든 적 처치,,
20912,3804,2,"[{""Monster_ID"":1201,""Count"":2,""Position"":""Front""},{""Monster_ID"":1206,""Count"":1,""Position"":""Front""},{""Monster_ID"":1204,""Count"":2,""Position"":""Back""}]",FALSE,2000,모든 적 처치,,
30913,3804,3,"[{""Monster_ID"":1201,""Count"":2,""Position"":""Front""},{""Monster_ID"":1206,""Count"":2,""Position"":""Front""},{""Monster_ID"":1204,""Count"":2,""Position"":""Back""},{""Monster_ID"":1215,""Count"":1,""Position"":""Back""}]",FALSE,2500,,,
